,DateRep,day,month,year,Cases,Deaths,Countries.and.territories,geoId,countryterritoryCode,popData2018,t
266,21/02/2020,21,2,2020,0,0,Armenia,AM,ARM,2951776,2020.1393442623
265,22/02/2020,22,2,2020,0,0,Armenia,AM,ARM,2951776,2020.14207650273
264,23/02/2020,23,2,2020,0,0,Armenia,AM,ARM,2951776,2020.14480874317
263,24/02/2020,24,2,2020,0,0,Armenia,AM,ARM,2951776,2020.14754098361
262,25/02/2020,25,2,2020,0,0,Armenia,AM,ARM,2951776,2020.15027322404
261,26/02/2020,26,2,2020,0,0,Armenia,AM,ARM,2951776,2020.15300546448
260,27/02/2020,27,2,2020,0,0,Armenia,AM,ARM,2951776,2020.15573770492
259,28/02/2020,28,2,2020,0,0,Armenia,AM,ARM,2951776,2020.15846994536
258,29/02/2020,29,2,2020,0,0,Armenia,AM,ARM,2951776,2020.16120218579
257,01/03/2020,1,3,2020,1,0,Armenia,AM,ARM,2951776,2020.16393442623
256,02/03/2020,2,3,2020,0,0,Armenia,AM,ARM,2951776,2020.16666666667
255,12/03/2020,12,3,2020,3,0,Armenia,AM,ARM,2951776,2020.19398907104
254,13/03/2020,13,3,2020,2,0,Armenia,AM,ARM,2951776,2020.19672131148
253,14/03/2020,14,3,2020,7,0,Armenia,AM,ARM,2951776,2020.19945355191
252,15/03/2020,15,3,2020,7,0,Armenia,AM,ARM,2951776,2020.20218579235
251,16/03/2020,16,3,2020,10,0,Armenia,AM,ARM,2951776,2020.20491803279
250,17/03/2020,17,3,2020,22,0,Armenia,AM,ARM,2951776,2020.20765027322
249,18/03/2020,18,3,2020,26,0,Armenia,AM,ARM,2951776,2020.21038251366
248,19/03/2020,19,3,2020,37,0,Armenia,AM,ARM,2951776,2020.2131147541
247,20/03/2020,20,3,2020,7,0,Armenia,AM,ARM,2951776,2020.21584699454
