,"Region, subregion, country or area *",0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,weighted_fatality,population
3465,Recovered,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
3465,Rhode_Island,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
3465,South_Carolina,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
3465,South_Dakota,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
3465,Tennessee,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
3465,Texas,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
3465,USA,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
3465,Utah,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
3465,Vermont,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
3465,Virginia,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
3465,Virgin_Islands,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
3465,Washington,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
3465,West_Virginia,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
3465,Wisconsin,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
3465,Wuhan_Evacuee,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
3465,Wyoming,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
3465,Washington_D.C.,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
