country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
SE,Sweden,Kalmar County,,2020-04-15,-2,-1,,-22,-31,8
SE,Sweden,Kalmar County,,2020-04-16,-2,1,,-22,-33,9
SE,Sweden,Kalmar County,,2020-04-17,-4,-1,,-25,-36,9
SE,Sweden,Kronoberg County,,2020-02-15,-3,-3,,-1,-3,
SE,Sweden,Kronoberg County,,2020-02-16,-16,-10,-51,-18,-7,
SE,Sweden,Kronoberg County,,2020-02-17,-1,-5,,-17,-18,4
SE,Sweden,Kronoberg County,,2020-02-18,-1,-4,,-9,-18,3
SE,Sweden,Kronoberg County,,2020-02-19,2,-1,,-11,-18,2
SE,Sweden,Kronoberg County,,2020-02-20,0,1,,-14,-21,4
SE,Sweden,Kronoberg County,,2020-02-21,-4,-4,,-12,-22,4
SE,Sweden,Kronoberg County,,2020-02-22,-6,-12,,-13,-4,
SE,Sweden,Kronoberg County,,2020-02-23,-1,1,,3,-1,
SE,Sweden,Kronoberg County,,2020-02-24,3,1,,0,0,0
SE,Sweden,Kronoberg County,,2020-02-25,6,8,,2,0,0
SE,Sweden,Kronoberg County,,2020-02-26,1,-1,,0,1,0
SE,Sweden,Kronoberg County,,2020-02-27,7,7,,0,1,1
SE,Sweden,Kronoberg County,,2020-02-28,2,2,,-1,1,1
SE,Sweden,Kronoberg County,,2020-02-29,9,4,,5,0,
SE,Sweden,Kronoberg County,,2020-03-01,3,0,,-8,-4,
SE,Sweden,Kronoberg County,,2020-03-02,4,-3,,-6,-1,1
SE,Sweden,Kronoberg County,,2020-03-03,3,-1,,-3,0,1
SE,Sweden,Kronoberg County,,2020-03-04,4,1,,-6,0,1
SE,Sweden,Kronoberg County,,2020-03-05,2,3,,-4,0,1
SE,Sweden,Kronoberg County,,2020-03-06,2,0,,7,2,1
SE,Sweden,Kronoberg County,,2020-03-07,3,2,,16,3,
SE,Sweden,Kronoberg County,,2020-03-08,0,-2,,2,-4,
SE,Sweden,Kronoberg County,,2020-03-09,1,-2,,-9,-1,1
SE,Sweden,Kronoberg County,,2020-03-10,0,-2,,-4,0,1
SE,Sweden,Kronoberg County,,2020-03-11,-1,6,,-9,0,1
SE,Sweden,Kronoberg County,,2020-03-12,-13,6,,-17,-2,4
SE,Sweden,Kronoberg County,,2020-03-13,-14,7,,-20,-5,5
SE,Sweden,Kronoberg County,,2020-03-14,-18,10,,-7,-5,
SE,Sweden,Kronoberg County,,2020-03-15,-26,1,,-28,-12,
SE,Sweden,Kronoberg County,,2020-03-16,-18,1,,-30,-13,7
SE,Sweden,Kronoberg County,,2020-03-17,-21,0,,-27,-17,7
SE,Sweden,Kronoberg County,,2020-03-18,-25,-5,,-35,-26,10
SE,Sweden,Kronoberg County,,2020-03-19,-23,-2,,-33,-23,10
SE,Sweden,Kronoberg County,,2020-03-20,-20,-5,,-33,-22,10
SE,Sweden,Kronoberg County,,2020-03-21,-24,-4,,-16,-14,
SE,Sweden,Kronoberg County,,2020-03-22,-26,-9,,-30,-15,
SE,Sweden,Kronoberg County,,2020-03-23,-18,-6,,-36,-23,9
SE,Sweden,Kronoberg County,,2020-03-24,-20,-6,,-33,-23,9
SE,Sweden,Kronoberg County,,2020-03-25,-13,2,,-29,-21,8
SE,Sweden,Kronoberg County,,2020-03-26,-15,-1,,-31,-22,9
SE,Sweden,Kronoberg County,,2020-03-27,-14,-2,,-30,-21,8
SE,Sweden,Kronoberg County,,2020-03-28,-19,-4,,-12,-9,
SE,Sweden,Kronoberg County,,2020-03-29,-19,-6,,-35,-17,
SE,Sweden,Kronoberg County,,2020-03-30,-13,-7,,-36,-24,9
SE,Sweden,Kronoberg County,,2020-03-31,-17,-7,,-33,-24,8
SE,Sweden,Kronoberg County,,2020-04-01,-19,-4,,-36,-23,9
SE,Sweden,Kronoberg County,,2020-04-02,-24,-6,,-38,-25,11
SE,Sweden,Kronoberg County,,2020-04-03,-22,-8,,-40,-24,10
SE,Sweden,Kronoberg County,,2020-04-04,-22,-5,,-15,-14,
SE,Sweden,Kronoberg County,,2020-04-05,-23,-7,,-29,-18,
SE,Sweden,Kronoberg County,,2020-04-06,-2,-2,,-34,-33,9
SE,Sweden,Kronoberg County,,2020-04-07,-3,5,,-28,-33,9
SE,Sweden,Kronoberg County,,2020-04-08,0,12,,-28,-34,8
SE,Sweden,Kronoberg County,,2020-04-09,5,19,,-30,-42,10
SE,Sweden,Kronoberg County,,2020-04-10,-50,-23,,-56,-81,20
SE,Sweden,Kronoberg County,,2020-04-11,-36,-13,,-25,-20,
SE,Sweden,Kronoberg County,,2020-04-12,-26,-13,,-34,-22,
SE,Sweden,Kronoberg County,,2020-04-13,-36,-23,,-60,-83,23
SE,Sweden,Kronoberg County,,2020-04-14,-13,-6,,-28,-23,8
SE,Sweden,Kronoberg County,,2020-04-15,-16,-3,,-31,-22,8
SE,Sweden,Kronoberg County,,2020-04-16,-16,-3,,-30,-23,9
SE,Sweden,Kronoberg County,,2020-04-17,-17,-3,,-30,-22,8
SE,Sweden,Norrbotten County,,2020-02-15,14,0,27,9,0,-1
SE,Sweden,Norrbotten County,,2020-02-16,-11,-8,-14,0,-2,1
SE,Sweden,Norrbotten County,,2020-02-17,-2,1,26,8,1,1
SE,Sweden,Norrbotten County,,2020-02-18,2,2,29,4,1,0
SE,Sweden,Norrbotten County,,2020-02-19,0,0,23,5,1,0
SE,Sweden,Norrbotten County,,2020-02-20,2,5,10,0,1,1
SE,Sweden,Norrbotten County,,2020-02-21,6,1,33,8,0,0
SE,Sweden,Norrbotten County,,2020-02-22,15,1,94,16,-2,-1
SE,Sweden,Norrbotten County,,2020-02-23,7,2,77,15,2,-2
SE,Sweden,Norrbotten County,,2020-02-24,2,1,11,3,0,1
SE,Sweden,Norrbotten County,,2020-02-25,14,17,41,4,1,-1
SE,Sweden,Norrbotten County,,2020-02-26,8,2,26,2,0,0
SE,Sweden,Norrbotten County,,2020-02-27,16,8,26,8,0,0
SE,Sweden,Norrbotten County,,2020-02-28,11,4,47,10,-3,0
SE,Sweden,Norrbotten County,,2020-02-29,18,4,69,12,-3,-1
SE,Sweden,Norrbotten County,,2020-03-01,3,3,33,6,0,-1
SE,Sweden,Norrbotten County,,2020-03-02,13,8,28,0,-18,3
SE,Sweden,Norrbotten County,,2020-03-03,11,6,60,-7,-17,1
SE,Sweden,Norrbotten County,,2020-03-04,8,8,32,-7,-18,2
SE,Sweden,Norrbotten County,,2020-03-05,2,3,23,-7,-19,3
SE,Sweden,Norrbotten County,,2020-03-06,1,2,103,-6,-23,2
SE,Sweden,Norrbotten County,,2020-03-07,-1,0,,10,-5,-4
SE,Sweden,Norrbotten County,,2020-03-08,5,2,19,0,-1,-3
SE,Sweden,Norrbotten County,,2020-03-09,2,2,22,3,-1,0
SE,Sweden,Norrbotten County,,2020-03-10,2,4,44,2,0,0
SE,Sweden,Norrbotten County,,2020-03-11,-5,3,3,-2,-1,1
SE,Sweden,Norrbotten County,,2020-03-12,-1,16,12,-4,-2,2
SE,Sweden,Norrbotten County,,2020-03-13,-11,5,38,-14,-7,2
SE,Sweden,Norrbotten County,,2020-03-14,-20,1,150,-4,-8,0
SE,Sweden,Norrbotten County,,2020-03-15,-17,3,53,-13,-5,0
SE,Sweden,Norrbotten County,,2020-03-16,-13,4,12,-18,-9,4
SE,Sweden,Norrbotten County,,2020-03-17,-16,3,2,-23,-11,5
SE,Sweden,Norrbotten County,,2020-03-18,-17,-1,35,-22,-16,6
SE,Sweden,Norrbotten County,,2020-03-19,-16,-1,13,-28,-16,7
SE,Sweden,Norrbotten County,,2020-03-20,-20,-9,66,-31,-19,6
SE,Sweden,Norrbotten County,,2020-03-21,-35,-15,,-19,-16,1
SE,Sweden,Norrbotten County,,2020-03-22,-28,-10,35,-35,-11,1
SE,Sweden,Norrbotten County,,2020-03-23,-22,-10,2,-35,-18,7
SE,Sweden,Norrbotten County,,2020-03-24,-21,-10,13,-31,-18,7
SE,Sweden,Norrbotten County,,2020-03-25,-17,-2,3,-32,-19,8
SE,Sweden,Norrbotten County,,2020-03-26,-14,-4,46,-31,-19,7
SE,Sweden,Norrbotten County,,2020-03-27,-16,-7,51,-36,-20,7
SE,Sweden,Norrbotten County,,2020-03-28,-28,-13,69,-28,-17,3
SE,Sweden,Norrbotten County,,2020-03-29,-30,-14,60,-38,-15,2
SE,Sweden,Norrbotten County,,2020-03-30,-20,-11,12,-36,-21,7
SE,Sweden,Norrbotten County,,2020-03-31,-20,-11,0,-36,-21,8
SE,Sweden,Norrbotten County,,2020-04-01,-21,-8,16,-33,-21,8
SE,Sweden,Norrbotten County,,2020-04-02,-24,-7,-4,-40,-22,9
SE,Sweden,Norrbotten County,,2020-04-03,-25,-11,42,-39,-23,8
SE,Sweden,Norrbotten County,,2020-04-04,-34,-15,115,-28,-19,3
SE,Sweden,Norrbotten County,,2020-04-05,-31,-10,110,-35,-18,2
SE,Sweden,Norrbotten County,,2020-04-06,-17,-7,-2,-39,-24,8
SE,Sweden,Norrbotten County,,2020-04-07,-12,1,38,-30,-24,7
SE,Sweden,Norrbotten County,,2020-04-08,-9,10,33,-32,-25,6
SE,Sweden,Norrbotten County,,2020-04-09,-13,16,112,-31,-37,7
SE,Sweden,Norrbotten County,,2020-04-10,-69,-37,,-58,-77,18
SE,Sweden,Norrbotten County,,2020-04-11,-59,-29,,-25,-27,0
SE,Sweden,Norrbotten County,,2020-04-12,-57,-29,36,-56,-27,5
SE,Sweden,Norrbotten County,,2020-04-13,-61,-31,8,-64,-79,21
SE,Sweden,Norrbotten County,,2020-04-14,-17,-6,48,-34,-36,9
SE,Sweden,Norrbotten County,,2020-04-15,-21,-10,58,-36,-36,10
SE,Sweden,Norrbotten County,,2020-04-16,-17,-7,96,-33,-34,9
SE,Sweden,Norrbotten County,,2020-04-17,-23,-12,81,-44,-36,9
SE,Sweden,Örebro County,,2020-02-15,1,-3,2,2,-1,1
SE,Sweden,Örebro County,,2020-02-16,-14,-9,-51,-12,-3,2
SE,Sweden,Örebro County,,2020-02-17,-8,-9,-21,-18,-15,3
SE,Sweden,Örebro County,,2020-02-18,3,-2,,-13,-15,2
SE,Sweden,Örebro County,,2020-02-19,5,-3,,-10,-16,2
SE,Sweden,Örebro County,,2020-02-20,2,-3,0,-15,-18,3
SE,Sweden,Örebro County,,2020-02-21,5,-5,31,-13,-20,3
SE,Sweden,Örebro County,,2020-02-22,-3,-6,-28,-8,-3,1
SE,Sweden,Örebro County,,2020-02-23,2,-1,27,3,-3,-1
SE,Sweden,Örebro County,,2020-02-24,4,-1,,-4,-3,1
SE,Sweden,Örebro County,,2020-02-25,12,11,,-1,1,0
SE,Sweden,Örebro County,,2020-02-26,14,1,,-1,2,0
SE,Sweden,Örebro County,,2020-02-27,19,4,2,-2,1,0
SE,Sweden,Örebro County,,2020-02-28,15,1,19,0,2,0
SE,Sweden,Örebro County,,2020-02-29,10,4,0,3,0,1
SE,Sweden,Örebro County,,2020-03-01,-2,-6,-42,-5,-3,1
SE,Sweden,Örebro County,,2020-03-02,5,1,12,0,1,0
SE,Sweden,Örebro County,,2020-03-03,-2,1,-12,-6,0,1
SE,Sweden,Örebro County,,2020-03-04,2,-3,-2,-5,1,1
SE,Sweden,Örebro County,,2020-03-05,5,1,-8,-6,1,1
SE,Sweden,Örebro County,,2020-03-06,6,-2,9,-2,2,1
SE,Sweden,Örebro County,,2020-03-07,2,2,26,5,-1,1
SE,Sweden,Örebro County,,2020-03-08,1,-4,-19,-8,-1,1
SE,Sweden,Örebro County,,2020-03-09,-2,-2,15,-6,0,1
SE,Sweden,Örebro County,,2020-03-10,3,1,,-8,0,1
SE,Sweden,Örebro County,,2020-03-11,-2,0,,-9,-3,2
SE,Sweden,Örebro County,,2020-03-12,-12,5,-16,-12,-3,3
SE,Sweden,Örebro County,,2020-03-13,-10,2,7,-19,-5,4
SE,Sweden,Örebro County,,2020-03-14,-20,5,74,-7,-3,3
SE,Sweden,Örebro County,,2020-03-15,-23,-3,-34,-26,-8,4
SE,Sweden,Örebro County,,2020-03-16,-16,-1,,-19,-13,6
SE,Sweden,Örebro County,,2020-03-17,-22,-2,,-28,-17,7
SE,Sweden,Örebro County,,2020-03-18,-24,-5,0,-33,-22,9
SE,Sweden,Örebro County,,2020-03-19,-17,-3,,-31,-22,9
SE,Sweden,Örebro County,,2020-03-20,-19,-8,9,-35,-22,9
SE,Sweden,Örebro County,,2020-03-21,-27,-5,95,-21,-10,5
SE,Sweden,Örebro County,,2020-03-22,-23,-8,80,-26,-14,4
SE,Sweden,Örebro County,,2020-03-23,-21,-11,0,-37,-21,8
SE,Sweden,Örebro County,,2020-03-24,-22,-8,,-31,-22,9
SE,Sweden,Örebro County,,2020-03-25,-16,-2,,-30,-22,8
SE,Sweden,Örebro County,,2020-03-26,-14,-2,,-29,-23,9
SE,Sweden,Örebro County,,2020-03-27,-11,-7,,-31,-22,8
SE,Sweden,Örebro County,,2020-03-28,-24,-5,60,-25,-13,5
SE,Sweden,Örebro County,,2020-03-29,-18,-7,59,-28,-18,5
SE,Sweden,Örebro County,,2020-03-30,-15,-10,,-34,-23,8
SE,Sweden,Örebro County,,2020-03-31,-15,-8,,-30,-23,8
SE,Sweden,Örebro County,,2020-04-01,-18,-6,,-30,-23,9
SE,Sweden,Örebro County,,2020-04-02,-24,-10,-12,-39,-25,11
SE,Sweden,Örebro County,,2020-04-03,-18,-7,29,-33,-25,10
SE,Sweden,Örebro County,,2020-04-04,-27,-5,95,-20,-14,6
SE,Sweden,Örebro County,,2020-04-05,-26,-7,34,-33,-17,6
SE,Sweden,Örebro County,,2020-04-06,-4,-3,,-27,-32,8
SE,Sweden,Örebro County,,2020-04-07,-6,1,,-30,-33,9
SE,Sweden,Örebro County,,2020-04-08,0,7,,-30,-34,9
SE,Sweden,Örebro County,,2020-04-09,5,19,,-31,-42,10
SE,Sweden,Örebro County,,2020-04-10,-41,-21,,-48,-79,19
SE,Sweden,Örebro County,,2020-04-11,-47,-15,,-26,-22,5
SE,Sweden,Örebro County,,2020-04-12,-33,-14,22,-40,-25,5
SE,Sweden,Örebro County,,2020-04-13,-35,-21,,-55,-81,22
SE,Sweden,Örebro County,,2020-04-14,-13,-5,,-30,-23,7
SE,Sweden,Örebro County,,2020-04-15,-11,-5,,-24,-22,8
SE,Sweden,Örebro County,,2020-04-16,-12,-3,,-31,-23,9
SE,Sweden,Örebro County,,2020-04-17,-10,-3,,-30,-24,9
SE,Sweden,Östergötland County,,2020-02-15,6,-3,-7,2,-3,0
SE,Sweden,Östergötland County,,2020-02-16,-11,-8,-40,-9,-4,1
SE,Sweden,Östergötland County,,2020-02-17,-4,-8,-5,-16,-16,4
SE,Sweden,Östergötland County,,2020-02-18,-1,-5,5,-15,-15,3
SE,Sweden,Östergötland County,,2020-02-19,4,-2,17,-15,-16,2
SE,Sweden,Östergötland County,,2020-02-20,5,-5,6,-12,-17,3
SE,Sweden,Östergötland County,,2020-02-21,8,-5,18,-12,-18,3
SE,Sweden,Östergötland County,,2020-02-22,-3,-6,-30,-6,-7,1
SE,Sweden,Östergötland County,,2020-02-23,2,-4,-8,1,-1,0
SE,Sweden,Östergötland County,,2020-02-24,0,-2,26,-3,2,0
SE,Sweden,Östergötland County,,2020-02-25,9,8,-8,0,4,0
SE,Sweden,Östergötland County,,2020-02-26,5,-2,-12,-1,2,1
SE,Sweden,Östergötland County,,2020-02-27,7,-4,-6,5,4,1
SE,Sweden,Östergötland County,,2020-02-28,10,-1,24,6,3,0
SE,Sweden,Östergötland County,,2020-02-29,7,1,-10,4,1,1
SE,Sweden,Östergötland County,,2020-03-01,4,-5,-17,0,0,1
SE,Sweden,Östergötland County,,2020-03-02,0,-5,2,-3,1,1
SE,Sweden,Östergötland County,,2020-03-03,3,-2,1,-4,2,0
SE,Sweden,Östergötland County,,2020-03-04,1,-5,-10,-6,1,1
SE,Sweden,Östergötland County,,2020-03-05,3,-3,6,-1,3,0
SE,Sweden,Östergötland County,,2020-03-06,4,-2,31,-1,3,0
SE,Sweden,Östergötland County,,2020-03-07,6,-2,8,0,1,0
SE,Sweden,Östergötland County,,2020-03-08,4,-6,-1,-1,0,0
SE,Sweden,Östergötland County,,2020-03-09,0,-6,29,-4,1,1
SE,Sweden,Östergötland County,,2020-03-10,-3,-3,16,-5,1,1
SE,Sweden,Östergötland County,,2020-03-11,-3,-2,7,-11,-1,1
SE,Sweden,Östergötland County,,2020-03-12,-9,5,-13,-13,-2,3
SE,Sweden,Östergötland County,,2020-03-13,-9,6,1,-19,-6,5
SE,Sweden,Östergötland County,,2020-03-14,-17,5,72,-16,-7,4
SE,Sweden,Östergötland County,,2020-03-15,-21,-6,-6,-26,-7,4
SE,Sweden,Östergötland County,,2020-03-16,-17,0,12,-26,-19,8
SE,Sweden,Östergötland County,,2020-03-17,-22,-2,24,-30,-22,9
SE,Sweden,Östergötland County,,2020-03-18,-22,-5,10,-37,-27,11
SE,Sweden,Östergötland County,,2020-03-19,-19,-5,71,-33,-27,11
SE,Sweden,Östergötland County,,2020-03-20,-20,-10,18,-38,-27,12
SE,Sweden,Östergötland County,,2020-03-21,-25,-8,87,-28,-13,6
SE,Sweden,Östergötland County,,2020-03-22,-24,-12,78,-32,-13,5
SE,Sweden,Östergötland County,,2020-03-23,-21,-12,35,-36,-26,10
SE,Sweden,Östergötland County,,2020-03-24,-21,-10,65,-33,-27,10
SE,Sweden,Östergötland County,,2020-03-25,-11,-3,63,-34,-26,10
SE,Sweden,Östergötland County,,2020-03-26,-11,-7,100,-30,-25,10
SE,Sweden,Östergötland County,,2020-03-27,-12,-10,100,-33,-26,10
SE,Sweden,Östergötland County,,2020-03-28,-22,-7,80,-27,-16,6
SE,Sweden,Östergötland County,,2020-03-29,-18,-12,60,-33,-17,5
SE,Sweden,Östergötland County,,2020-03-30,-17,-14,30,-37,-27,10
SE,Sweden,Östergötland County,,2020-03-31,-18,-10,61,-35,-27,10
SE,Sweden,Östergötland County,,2020-04-01,-17,-8,45,-37,-27,10
SE,Sweden,Östergötland County,,2020-04-02,-21,-11,12,-39,-27,12
SE,Sweden,Östergötland County,,2020-04-03,-18,-8,48,-39,-28,11
SE,Sweden,Östergötland County,,2020-04-04,-25,-7,75,-30,-18,6
SE,Sweden,Östergötland County,,2020-04-05,-20,-11,72,-35,-17,6
SE,Sweden,Östergötland County,,2020-04-06,-4,-2,,-32,-37,10
SE,Sweden,Östergötland County,,2020-04-07,-6,2,117,-34,-37,11
SE,Sweden,Östergötland County,,2020-04-08,3,7,129,-33,-38,10
SE,Sweden,Östergötland County,,2020-04-09,6,15,124,-34,-43,11
SE,Sweden,Östergötland County,,2020-04-10,-38,-17,208,-56,-80,20
SE,Sweden,Östergötland County,,2020-04-11,-40,-16,118,-34,-23,5
SE,Sweden,Östergötland County,,2020-04-12,-28,-17,55,-40,-23,5
SE,Sweden,Östergötland County,,2020-04-13,-31,-19,62,-63,-82,23
SE,Sweden,Östergötland County,,2020-04-14,-15,-10,53,-32,-25,9
SE,Sweden,Östergötland County,,2020-04-15,-12,-6,102,-32,-26,9
SE,Sweden,Östergötland County,,2020-04-16,-13,-6,85,-31,-24,10
SE,Sweden,Östergötland County,,2020-04-17,-11,-4,97,-35,-25,9
SE,Sweden,Skåne County,,2020-02-15,-1,-3,-15,4,-2,1
SE,Sweden,Skåne County,,2020-02-16,-16,-10,-44,-12,-5,2
SE,Sweden,Skåne County,,2020-02-17,-3,-5,-12,-13,-17,3
SE,Sweden,Skåne County,,2020-02-18,0,-3,11,-10,-17,3
SE,Sweden,Skåne County,,2020-02-19,-1,-3,-2,-10,-17,3
SE,Sweden,Skåne County,,2020-02-20,1,-1,-12,-13,-19,3
SE,Sweden,Skåne County,,2020-02-21,1,-2,23,-11,-21,3
SE,Sweden,Skåne County,,2020-02-22,-6,-6,-31,-4,-5,1
SE,Sweden,Skåne County,,2020-02-23,-9,-3,-22,-3,-1,1
SE,Sweden,Skåne County,,2020-02-24,-2,0,1,-2,1,0
SE,Sweden,Skåne County,,2020-02-25,7,7,0,1,3,0
SE,Sweden,Skåne County,,2020-02-26,2,2,-3,1,2,0
SE,Sweden,Skåne County,,2020-02-27,16,7,32,4,2,0
SE,Sweden,Skåne County,,2020-02-28,6,3,15,1,2,0
SE,Sweden,Skåne County,,2020-02-29,9,2,-19,5,-1,1
SE,Sweden,Skåne County,,2020-03-01,3,2,-13,-2,1,1
SE,Sweden,Skåne County,,2020-03-02,5,1,16,-3,0,1
SE,Sweden,Skåne County,,2020-03-03,2,1,9,-3,0,1
SE,Sweden,Skåne County,,2020-03-04,-1,2,3,-1,1,1
SE,Sweden,Skåne County,,2020-03-05,4,4,22,-1,2,0
SE,Sweden,Skåne County,,2020-03-06,-1,2,8,-3,1,1
SE,Sweden,Skåne County,,2020-03-07,8,4,26,7,2,1
SE,Sweden,Skåne County,,2020-03-08,0,0,3,-2,1,1
SE,Sweden,Skåne County,,2020-03-09,-4,-1,-8,-6,1,1
SE,Sweden,Skåne County,,2020-03-10,-4,-2,-6,-8,1,1
SE,Sweden,Skåne County,,2020-03-11,-5,3,19,-6,0,1
SE,Sweden,Skåne County,,2020-03-12,-13,11,-19,-16,-5,4
SE,Sweden,Skåne County,,2020-03-13,-16,9,-14,-23,-10,6
SE,Sweden,Skåne County,,2020-03-14,-14,11,85,-14,-4,3
SE,Sweden,Skåne County,,2020-03-15,-28,-3,-24,-34,-9,5
SE,Sweden,Skåne County,,2020-03-16,-18,3,14,-28,-18,8
SE,Sweden,Skåne County,,2020-03-17,-22,-1,25,-32,-21,9
SE,Sweden,Skåne County,,2020-03-18,-27,-4,-11,-39,-27,12
SE,Sweden,Skåne County,,2020-03-19,-18,-1,85,-37,-27,11
SE,Sweden,Skåne County,,2020-03-20,-22,-4,43,-41,-28,12
SE,Sweden,Skåne County,,2020-03-21,-22,-3,99,-29,-11,5
SE,Sweden,Skåne County,,2020-03-22,-28,-9,37,-39,-13,5
SE,Sweden,Skåne County,,2020-03-23,-19,-6,35,-39,-26,10
SE,Sweden,Skåne County,,2020-03-24,-21,-6,54,-39,-26,11
SE,Sweden,Skåne County,,2020-03-25,-16,1,48,-38,-26,11
SE,Sweden,Skåne County,,2020-03-26,-15,-1,70,-39,-26,11
SE,Sweden,Skåne County,,2020-03-27,-17,-3,89,-39,-27,11
SE,Sweden,Skåne County,,2020-03-28,-18,-1,96,-29,-11,5
SE,Sweden,Skåne County,,2020-03-29,-23,-8,23,-43,-16,6
SE,Sweden,Skåne County,,2020-03-30,-16,-8,30,-40,-26,10
SE,Sweden,Skåne County,,2020-03-31,-15,-5,67,-38,-26,10
SE,Sweden,Skåne County,,2020-04-01,-23,-6,-1,-42,-26,11
SE,Sweden,Skåne County,,2020-04-02,-22,-5,2,-44,-27,12
SE,Sweden,Skåne County,,2020-04-03,-23,-6,16,-44,-28,12
SE,Sweden,Skåne County,,2020-04-04,-19,-4,75,-33,-14,6
SE,Sweden,Skåne County,,2020-04-05,-17,-4,117,-36,-13,4
SE,Sweden,Skåne County,,2020-04-06,-3,-1,116,-38,-36,10
SE,Sweden,Skåne County,,2020-04-07,-3,5,144,-36,-36,10
SE,Sweden,Skåne County,,2020-04-08,-2,8,113,-37,-37,10
SE,Sweden,Skåne County,,2020-04-09,7,19,121,-40,-44,11
SE,Sweden,Skåne County,,2020-04-10,-37,-14,197,-59,-79,20
SE,Sweden,Skåne County,,2020-04-11,-32,-12,98,-38,-20,5
SE,Sweden,Skåne County,,2020-04-12,-24,-12,119,-38,-15,4
SE,Sweden,Skåne County,,2020-04-13,-29,-17,75,-65,-81,23
SE,Sweden,Skåne County,,2020-04-14,-14,-5,48,-38,-24,9
SE,Sweden,Skåne County,,2020-04-15,-17,-5,48,-39,-24,10
SE,Sweden,Skåne County,,2020-04-16,-13,-2,73,-38,-25,10
SE,Sweden,Skåne County,,2020-04-17,-14,-1,118,-38,-25,9
SE,Sweden,Södermanland County,,2020-02-15,-3,-4,-1,-4,-2,1
SE,Sweden,Södermanland County,,2020-02-16,-13,-8,-33,-7,-2,1
SE,Sweden,Södermanland County,,2020-02-17,-6,-6,,-10,-17,3
SE,Sweden,Södermanland County,,2020-02-18,-2,-3,,-7,-15,3
SE,Sweden,Södermanland County,,2020-02-19,2,-2,,-9,-15,2
SE,Sweden,Södermanland County,,2020-02-20,1,-3,2,-10,-18,3
SE,Sweden,Södermanland County,,2020-02-21,1,-4,20,-1,-20,3
SE,Sweden,Södermanland County,,2020-02-22,-6,-6,-16,-7,-5,1
SE,Sweden,Södermanland County,,2020-02-23,2,1,17,2,1,0
SE,Sweden,Södermanland County,,2020-02-24,1,-2,,1,2,0
SE,Sweden,Södermanland County,,2020-02-25,17,11,,3,1,0
SE,Sweden,Södermanland County,,2020-02-26,7,0,-12,-3,1,1
SE,Sweden,Södermanland County,,2020-02-27,2,-3,-15,1,0,1
SE,Sweden,Södermanland County,,2020-02-28,15,2,20,6,0,0
SE,Sweden,Södermanland County,,2020-02-29,22,4,-4,0,3,0
SE,Sweden,Södermanland County,,2020-03-01,5,-1,-22,-4,-1,1
SE,Sweden,Södermanland County,,2020-03-02,1,1,,-1,2,1
SE,Sweden,Södermanland County,,2020-03-03,1,1,,-5,1,1
SE,Sweden,Södermanland County,,2020-03-04,-5,-4,-17,-11,-1,2
SE,Sweden,Södermanland County,,2020-03-05,2,1,-2,-2,-1,1
SE,Sweden,Södermanland County,,2020-03-06,2,0,26,2,0,1
SE,Sweden,Södermanland County,,2020-03-07,4,2,-3,-3,-1,0
SE,Sweden,Södermanland County,,2020-03-08,2,-1,-4,-3,0,0
SE,Sweden,Södermanland County,,2020-03-09,0,0,,-1,-1,1
SE,Sweden,Södermanland County,,2020-03-10,-3,2,,-4,0,1
SE,Sweden,Södermanland County,,2020-03-11,-3,1,-6,-11,-4,2
SE,Sweden,Södermanland County,,2020-03-12,-11,10,-17,-15,-3,3
SE,Sweden,Södermanland County,,2020-03-13,-8,5,22,-16,-7,4
SE,Sweden,Södermanland County,,2020-03-14,-13,9,49,-14,-8,4
SE,Sweden,Södermanland County,,2020-03-15,-20,2,-12,-31,-10,4
SE,Sweden,Södermanland County,,2020-03-16,-18,3,,-28,-13,6
SE,Sweden,Södermanland County,,2020-03-17,-22,0,,-31,-18,8
SE,Sweden,Södermanland County,,2020-03-18,-26,-2,-19,-40,-25,10
SE,Sweden,Södermanland County,,2020-03-19,-19,-2,,-35,-26,10
SE,Sweden,Södermanland County,,2020-03-20,-21,-4,10,-42,-28,11
SE,Sweden,Södermanland County,,2020-03-21,-21,-2,50,-35,-13,6
SE,Sweden,Södermanland County,,2020-03-22,-20,-7,54,-35,-15,5
SE,Sweden,Södermanland County,,2020-03-23,-23,-7,,-42,-27,10
SE,Sweden,Södermanland County,,2020-03-24,-21,-7,,-37,-27,10
SE,Sweden,Södermanland County,,2020-03-25,-15,3,,-39,-27,10
SE,Sweden,Södermanland County,,2020-03-26,-12,0,,-35,-28,10
SE,Sweden,Södermanland County,,2020-03-27,-13,-4,,-40,-28,10
SE,Sweden,Södermanland County,,2020-03-28,-18,-4,53,-33,-15,6
SE,Sweden,Södermanland County,,2020-03-29,-18,-7,46,-41,-19,5
SE,Sweden,Södermanland County,,2020-03-30,-19,-8,,-42,-28,11
SE,Sweden,Södermanland County,,2020-03-31,-17,-6,,-37,-28,10
SE,Sweden,Södermanland County,,2020-04-01,-19,-4,,-41,-28,10
SE,Sweden,Södermanland County,,2020-04-02,-20,-7,,-42,-30,12
SE,Sweden,Södermanland County,,2020-04-03,-19,-6,,-44,-30,12
