,stateFIPS,countyFIPS,Life expectancy Under 1,Life expectancy 1-4,Life expectancy 5-14,Life expectancy 15-24,Life expectancy 25-34,Life expectancy 35-44,Life expectancy 45-54,Life expectancy 55-64,Life expectancy 65-74,Life expectancy 75-84,Life expectancy 85 and older
0,1,1,75.32000000000001,75.1,71.34,61.50999999999999,52.00999999999999,42.85,33.8,25.309999999999995,17.73,11.39,5.21
0,1,3,77.48275862068964,77.13793103448276,73.30000000000001,63.41724137931035,53.96206896551724,44.72068965517241,35.51379310344828,27.02068965517241,19.131034482758615,11.93793103448276,6.589655172413794
0,1,5,73.97142857142856,73.52857142857142,69.7,60.042857142857144,50.82857142857143,41.771428571428565,33.05714285714286,24.742857142857144,17.599999999999998,11.385714285714286,6.2
0,1,7,73.55,73.8,69.9,60.125,50.900000000000006,41.849999999999994,32.925,24.55,17.475,11.049999999999999,6.200000000000001
0,1,9,76.07777777777778,75.45555555555556,71.66666666666667,61.833333333333336,52.5,43.17777777777778,34.25555555555556,25.88888888888889,18.37777777777778,11.833333333333332,6.566666666666666
0,1,11,77.60000000000001,77.43333333333332,73.63333333333333,63.800000000000004,54.76666666666667,45.800000000000004,36.43333333333333,28.066666666666666,20.433333333333334,13.766666666666666,8.366666666666667
0,1,13,73.38749999999999,73.125,69.3375,59.662499999999994,50.525,41.575,33.0,25.0,17.475,11.2375,5.8125
0,1,15,73.13600000000001,72.82,68.992,59.123999999999995,49.744,40.571999999999996,31.86,24.052000000000003,16.904,10.672,5.627999999999999
0,1,17,73.61111111111111,73.21111111111112,69.42222222222222,59.55555555555556,50.16666666666667,41.32222222222222,32.544444444444444,24.511111111111113,17.62222222222222,11.522222222222222,7.2333333333333325
0,1,19,74.08333333333333,73.66666666666667,69.8,59.966666666666676,50.550000000000004,41.266666666666666,32.61666666666667,24.900000000000002,17.483333333333334,10.483333333333333,4.9
0,1,21,73.92222222222223,73.65555555555555,69.77777777777777,60.0,50.65555555555556,41.63333333333333,32.87777777777777,24.83333333333333,17.599999999999998,11.322222222222221,6.677777777777778
0,1,23,74.7,74.25,70.5,60.875,51.974999999999994,43.875,35.5,27.15,19.4,12.65,7.5
0,1,25,74.3875,74.1125,70.2375,60.5125,51.325,42.4375,33.4875,25.375,17.7,10.625,5.475
0,1,27,74.6,74.425,70.525,60.775,51.325,42.2,33.025,24.475,17.525,11.525,6.074999999999999
0,1,29,73.3,72.875,69.14999999999999,59.25000000000001,49.825,40.675,31.625,24.25,17.3,11.325,5.6
0,1,31,76.5357142857143,76.22142857142856,72.44285714285714,62.628571428571426,53.307142857142864,43.90714285714285,34.54285714285714,25.91428571428571,18.12857142857143,11.628571428571428,6.035714285714286
0,1,33,73.62857142857145,73.5142857142857,69.68571428571428,59.99285714285714,50.61428571428572,41.557142857142864,32.64285714285714,24.692857142857143,17.36428571428571,10.950000000000001,6.364285714285715
0,1,35,73.46000000000001,73.44,69.9,60.08,50.60000000000001,42.04,33.279999999999994,25.36,18.68,12.38,7.58
0,1,37,77.89999999999999,77.63333333333334,73.76666666666667,63.9,54.53333333333333,45.5,36.23333333333333,27.53333333333333,20.033333333333335,13.633333333333333,9.133333333333333
