Country,Epidemic Start,R0 at start,R0 29 Mar,R0 Apr 19
Austria,2020-02-22,3.14,1.24,1.24
Belgium,2020-02-18,3.66,1.28,1.28
Denmark,2020-02-21,2.95,3.7,3.7
France,2020-02-07,3.18,0.83,0.83
Germany,2020-02-15,3.1,3.67,3.67
Italy,2020-01-27,3.05,0.79,0.79
Norway,2020-02-24,2.79,8.88,8.88
Spain,2020-02-09,3.18,0.99,0.99
Sweden,2020-02-18,2.91,3.66,3.66
Switzerland,2020-02-14,2.48,2.89,2.89
United_Kingdom,2020-02-12,2.74,0.99,0.99
