,Country,Date,Predicted mean,Predicted 2.5,Predicted 97.5,Predicted 25,Predicted 75,Observed deaths,End date
198,France,2020-02-26,0.5465516130069431,0.2404378441335776,1.0050106559650072,0.4060736473438704,0.6597947516020246,0.0,2020-04-19
199,France,2020-02-27,0.6713805868117706,0.30717235144521504,1.2062844567756856,0.5052510746047061,0.8074387846236262,1.0,2020-04-19
200,France,2020-02-28,0.8231213578960644,0.3919221611460514,1.44377154170714,0.6284949649458598,0.9845505919818996,0.0,2020-04-19
201,France,2020-02-29,1.007236954805243,0.4981856438622759,1.7251418575813156,0.7796630260338265,1.197736574056098,0.0,2020-04-19
202,France,2020-03-01,1.2304267340154122,0.6304372616487831,2.0617007506613887,0.9659325504973116,1.4538470493953248,0.0,2020-04-19
203,France,2020-03-02,1.5009635921689224,0.7938819218752717,2.455405604884212,1.1948578171757471,1.763835038262704,0.0,2020-04-19
204,France,2020-03-03,1.8304619518911505,1.0072651972373008,2.9251406366985027,1.4755589739035064,2.1381983414009134,1.0,2020-04-19
205,France,2020-03-04,2.2330797365847204,1.2783340837612256,3.502846327425991,1.8245663884251373,2.5885908012278063,1.0,2020-04-19
206,France,2020-03-05,2.7283583657557395,1.6199059567050456,4.185949230741125,2.258669048118961,3.140561524240536,0.0,2020-04-19
207,France,2020-03-06,3.3388242096533745,2.047829176773812,5.016531355917303,2.7998763498382058,3.8148919586664025,3.0,2020-04-19
208,France,2020-03-07,4.090971839777359,2.598148371476173,5.9731911781828835,3.4730114972611363,4.639441339186204,2.0,2020-04-19
209,France,2020-03-08,5.018018780681527,3.2951656398955373,7.137731239015267,4.316065778580022,5.639726478067955,1.0,2020-04-19
210,France,2020-03-09,6.158901820092362,4.155253707797715,8.611124325870218,5.360342492448691,6.864758429746339,9.0,2020-04-19
211,France,2020-03-10,7.563403793806293,5.260058067561202,10.361561206963355,6.640490296477822,8.355425043475943,11.0,2020-04-19
212,France,2020-03-11,9.292468098014607,6.686114315752089,12.510643993697705,8.234466201214197,10.226641416998909,3.0,2020-04-19
213,France,2020-03-12,11.419797998069921,8.443544634500093,15.140442457008055,10.222704202534356,12.483154661549294,15.0,2020-04-19
214,France,2020-03-13,14.03857488047584,10.570579600207695,18.438115853731826,12.7019200638409,15.257100416374788,13.0,2020-04-19
215,France,2020-03-14,17.27349782017477,13.265085971932814,22.438484211384072,15.6986197435482,18.67349206134545,18.0,2020-04-19
216,France,2020-03-15,21.353750106876024,16.634249065174156,27.27888418899789,19.461160581502604,23.00788211574659,12.0,2020-04-19
217,France,2020-03-16,26.489534240028405,20.815914471782538,33.44859867780272,24.22236028660543,28.51711549547809,36.0,2020-04-19
218,France,2020-03-17,33.181492095423835,26.303670002553307,41.658437961391726,30.43781812660746,35.67636197910644,21.0,2020-04-19
219,France,2020-03-18,42.729687436915974,34.323939153657236,52.75076208015571,39.38158447076289,45.71469231773755,27.0,2020-04-19
220,France,2020-03-19,55.85300050498857,45.49018295576869,68.24173420658731,51.679251398644034,59.467142405489994,69.0,2020-04-19
221,France,2020-03-20,73.34146242558363,59.935053152041284,89.2515782888763,67.96881719480636,78.06638050384205,128.0,2020-04-19
222,France,2020-03-21,95.3822135767802,77.25872464799805,117.12035247685358,88.12420756121176,101.72064567641588,78.0,2020-04-19
223,France,2020-03-22,121.67091804059963,97.29010956643265,151.284205748629,111.88959094808732,130.1728165863517,112.0,2020-04-19
224,France,2020-03-23,151.51858114964853,119.63070990398752,191.08070011907898,138.53580210909666,162.99548934799319,112.0,2020-04-19
225,France,2020-03-24,183.97878221694614,143.4614571197665,234.43616250554626,167.31840973864172,198.80542934383666,186.0,2020-04-19
226,France,2020-03-25,218.04349667620238,167.79256477188255,280.65505023476203,197.55180259886,236.13528919954842,240.0,2020-04-19
227,France,2020-03-26,252.67082922340552,192.5734958647261,327.40982916710567,228.1384198140091,274.43510443349214,231.0,2020-04-19
228,France,2020-03-27,286.9071172900506,217.36619345415627,373.1511715992245,258.37245008747243,311.9612091490485,365.0,2020-04-19
229,France,2020-03-28,319.91772566771226,240.4448420517213,417.2889649996569,287.53331634796217,348.3309927811382,299.0,2020-04-19
230,France,2020-03-29,351.00191704190416,262.1095480939636,461.02243114418746,315.1912968675441,382.5143127906714,319.0,2020-04-19
231,France,2020-03-30,379.5845205764222,281.18727972505314,502.0205284397946,340.0898294817349,414.0648432363307,292.0,2020-04-19
232,France,2020-03-31,405.2019701626302,298.1585967979587,542.8292795959552,361.83837003967903,442.6204681152833,418.0,2020-04-19
233,France,2020-04-01,427.5040504654718,312.4469772889466,579.1466817627189,379.9028515421778,468.00619354001833,499.0,2020-04-19
234,France,2020-04-02,446.2424971083339,323.3357952649676,611.6576108653037,394.44505553734564,489.2319379638378,509.0,2020-04-19
235,France,2020-04-03,461.2749969561544,330.60876687656423,640.5637005663258,406.0159033781191,505.7100469248402,471.0,2020-04-19
236,France,2020-04-04,472.56128982880654,334.3804128457149,674.17019017548,413.902047698634,517.9510653797893,2004.0,2020-04-19
237,France,2020-04-05,480.15496184713663,335.4310636233243,708.3486646812795,416.4212064009678,527.5611543989874,1053.0,2020-04-19
238,France,2020-04-06,484.191858199105,333.48159324600164,735.9933911049174,415.4865381346914,532.3569667705051,518.0,2020-04-19
239,France,2020-04-07,484.8764007219376,328.34206391939495,756.9980907727735,411.39455884632025,533.0550733367389,833.0,2020-04-19
240,France,2020-04-08,482.46704054230537,320.2861199280041,780.2819393304061,404.83480428727006,530.7138960714237,1417.0,2020-04-19
241,France,2020-04-09,477.2618533439909,310.3928645908905,805.4198305133259,394.73458834290483,523.84175520255,541.0,2020-04-19
242,France,2020-04-10,469.5850196932672,299.30871696945985,821.1298665412694,382.9365759294857,515.2603659896663,1341.0,2020-04-19
243,France,2020-04-11,459.7746836060038,286.7059856668289,839.6375984732354,369.0608222464817,503.8452262655472,987.0,2020-04-19
244,France,2020-04-12,448.17247251951187,273.2118558783518,847.7669027155969,353.81201503272644,489.49977304613566,635.0,2020-04-19
245,France,2020-04-13,435.1147968506013,258.717518361707,850.1171856819597,338.0323551711585,473.8432970633793,561.0,2020-04-19
246,France,2020-04-14,420.92592501453214,243.999195797639,844.0723310005028,320.58848908079034,455.9134810188801,574.0,2020-04-19
247,France,2020-04-15,405.9127444315192,228.15632301890275,837.5432418507547,302.50228959896856,437.49728560980753,762.0,2020-04-19
248,France,2020-04-16,390.3610640015835,213.20906226883946,837.0427369042467,284.52565959361493,417.7603042250522,1438.0,2020-04-19
249,France,2020-04-17,374.5332823344277,197.6738009879458,842.9678749591188,266.21563398771576,397.2920462666955,753.0,2020-04-19
250,France,2020-04-18,358.66723293181707,183.37548929387333,839.7257486735408,247.89621029553916,376.55114693076433,761.0,2020-04-19
251,France,2020-04-19,342.97601766294287,169.1140472772289,833.6071354235819,229.96156382122456,355.7428197444883,642.0,2020-04-19
252,Germany,2020-02-15,1.0000000000000005e-09,1e-09,1e-09,1e-09,1e-09,0.0,2020-04-19
253,Germany,2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-19
254,Germany,2020-02-17,0.00011153010659486943,2.362204942366849e-05,0.0003045233096193796,6.000179741839977e-05,0.00014254561646930927,0.0,2020-04-19
255,Germany,2020-02-18,0.0004864379244452546,0.00010302743396930556,0.0013281766798137796,0.00026169749756639854,0.0006217118940446689,0.0,2020-04-19
256,Germany,2020-02-19,0.0013544309324002542,0.00028686814173255697,0.0036981565137709756,0.00072866684076883,0.00173108587554221,0.0,2020-04-19
257,Germany,2020-02-20,0.002969559211419196,0.0006289519180095642,0.008108124584305631,0.0015975855817366722,0.003795366662487681,0.0,2020-04-19
258,Germany,2020-02-21,0.005573798703635104,0.0011805292084326275,0.015218775272481003,0.002998633740047348,0.007123821509214374,0.0,2020-04-19
259,Germany,2020-02-22,0.009369178733452495,0.0019843897747245554,0.025581732174706898,0.0050405005563516295,0.011974662260679352,0.0,2020-04-19
260,Germany,2020-02-23,0.014574429144796737,0.003099275725471941,0.03972708425107178,0.007856563978093357,0.018623017946177114,0.0,2020-04-19
261,Germany,2020-02-24,0.021382525237220184,0.0045833403798466775,0.05804963813322035,0.011587671647297884,0.0273099510906938,0.0,2020-04-19
262,Germany,2020-02-25,0.030122783164315967,0.006570126908881451,0.08123599352328673,0.016440567290341504,0.038454929567905416,0.0,2020-04-19
263,Germany,2020-02-26,0.04105249119744109,0.0091807666565799,0.10974810845745993,0.022606136440073685,0.052355519540578516,0.0,2020-04-19
264,Germany,2020-02-27,0.054547578906834704,0.01255601019290196,0.14421690725756145,0.030366726207839336,0.0695427483053844,0.0,2020-04-19
265,Germany,2020-02-28,0.07101577908979792,0.016927603878863946,0.18500521989464688,0.040045264344604856,0.09027755116588132,0.0,2020-04-19
266,Germany,2020-02-29,0.09101259362414056,0.022539352298841717,0.23348135484524904,0.052129062317252575,0.11522133988330667,0.0,2020-04-19
267,Germany,2020-03-01,0.1154812655363432,0.02979512653303455,0.29186235120030884,0.067404071050365,0.14571235567198393,0.0,2020-04-19
268,Germany,2020-03-02,0.14552318081833274,0.03922090277852454,0.3591536947201648,0.08677633305799859,0.18275149525657772,0.0,2020-04-19
269,Germany,2020-03-03,0.18338455894087133,0.0520617048808751,0.4402441820206751,0.11164541512273628,0.2290691577232144,0.0,2020-04-19
270,Germany,2020-03-04,0.2314295118260964,0.06989436552510091,0.5389565397683488,0.14481162179682533,0.288069258929014,0.0,2020-04-19
271,Germany,2020-03-05,0.29278018874670225,0.09394293280039784,0.6607534938786137,0.1880801180601208,0.3628870706027679,0.0,2020-04-19
272,Germany,2020-03-06,0.3708337706631339,0.12778255220896645,0.8075280039866966,0.2446866306735773,0.4577276226499412,0.0,2020-04-19
273,Germany,2020-03-07,0.4692950885940765,0.17267600991246596,0.9868884579636176,0.3179225955386574,0.5747993219309777,0.0,2020-04-19
274,Germany,2020-03-08,0.5924782292967783,0.23111975126646225,1.2051283181522463,0.4123802625380117,0.7208877810570287,0.0,2020-04-19
275,Germany,2020-03-09,0.7452991821831936,0.3069684688483621,1.4697919106188517,0.5315158638598358,0.903607285713104,0.0,2020-04-19
