Days,Date,Change
46 , 2020-02-16 , nan
47 , 2020-02-17 , 0.9140325651886663
48 , 2020-02-18 , 0.39544118447129933
49 , 2020-02-19 , -1.4114949675513953
50 , 2020-02-20 , -2.511514397854897
51 , 2020-02-21 , -2.5267912796797916
52 , 2020-02-22 , -2.5408930167489245
53 , 2020-02-23 , 0.21482143551082072
54 , 2020-02-24 , 2.560578245832199
55 , 2020-02-25 , 2.0247961761162707
56 , 2020-02-26 , -0.5427062526716663
57 , 2020-02-27 , -2.110936929234834
58 , 2020-02-28 , -1.48913846034275
59 , 2020-02-29 , -0.5749597792717509
60 , 2020-03-01 , 0.18023860412699833
61 , 2020-03-02 , 1.6360415031282813
62 , 2020-03-03 , 2.6362072047565404
63 , 2020-03-04 , 1.8800015544242825
64 , 2020-03-05 , 0.18391512843430888
65 , 2020-03-06 , -0.8476269381727718
66 , 2020-03-07 , -0.668383787354755
67 , 2020-03-08 , -0.19442272568297034
68 , 2020-03-09 , 0.6390486923405803
69 , 2020-03-10 , 0.11411152994210316
70 , 2020-03-11 , -0.189722146659926
71 , 2020-03-12 , 1.4646298527183035
72 , 2020-03-13 , 8.198490498581592
73 , 2020-03-14 , 8.236384020518406
74 , 2020-03-15 , 12.02442233707691
75 , 2020-03-16 , 24.56689853495512
76 , 2020-03-17 , 15.49858887420822
77 , 2020-03-18 , -6.031853573232809
78 , 2020-03-19 , -34.78370691330198
79 , 2020-03-20 , -44.128017331830705
80 , 2020-03-21 , -48.85436273903688
81 , 2020-03-22 , -56.01553874253053
82 , 2020-03-23 , -56.701093051723454
83 , 2020-03-24 , -51.85288223143583
84 , 2020-03-25 , -47.03443360665291
85 , 2020-03-26 , -48.641737846345144
86 , 2020-03-27 , -47.92839140403372
87 , 2020-03-28 , -52.61006528581975
88 , 2020-03-29 , -61.09837879526139
