,np_date,short_date
0,2020-02-02,2 Feb
1,2020-02-03,3 Feb
2,2020-02-04,4 Feb
3,2020-02-05,5 Feb
4,2020-02-06,6 Feb
5,2020-02-07,7 Feb
6,2020-02-08,8 Feb
7,2020-02-09,9 Feb
8,2020-02-10,10 Feb
9,2020-02-11,11 Feb
10,2020-02-12,12 Feb
11,2020-02-13,13 Feb
12,2020-02-14,14 Feb
13,2020-02-15,15 Feb
14,2020-02-16,16 Feb
15,2020-02-17,17 Feb
16,2020-02-18,18 Feb
17,2020-02-19,19 Feb
18,2020-02-20,20 Feb
19,2020-02-21,21 Feb
20,2020-02-22,22 Feb
21,2020-02-23,23 Feb
22,2020-02-24,24 Feb
23,2020-02-25,25 Feb
24,2020-02-26,26 Feb
25,2020-02-27,27 Feb
26,2020-02-28,28 Feb
27,2020-02-29,29 Feb
28,2020-03-01,1 Mar
29,2020-03-02,2 Mar
30,2020-03-03,3 Mar
31,2020-03-04,4 Mar
32,2020-03-05,5 Mar
33,2020-03-06,6 Mar
34,2020-03-07,7 Mar
35,2020-03-08,8 Mar
36,2020-03-09,9 Mar
37,2020-03-10,10 Mar
38,2020-03-11,11 Mar
39,2020-03-12,12 Mar
40,2020-03-13,13 Mar
41,2020-03-14,14 Mar
42,2020-03-15,15 Mar
43,2020-03-16,16 Mar
44,2020-03-17,17 Mar
45,2020-03-18,18 Mar
46,2020-03-19,19 Mar
47,2020-03-20,20 Mar
48,2020-03-21,21 Mar
49,2020-03-22,22 Mar
50,2020-03-23,23 Mar
51,2020-03-24,24 Mar
52,2020-03-25,25 Mar
53,2020-03-26,26 Mar
54,2020-03-27,27 Mar
55,2020-03-28,28 Mar
56,2020-03-29,29 Mar
57,2020-03-30,30 Mar
58,2020-03-31,31 Mar
59,2020-04-01,1 Apr
60,2020-04-02,2 Apr
61,2020-04-03,3 Apr
62,2020-04-04,4 Apr
63,2020-04-05,5 Apr
64,2020-04-06,6 Apr
65,2020-04-07,7 Apr
66,2020-04-08,8 Apr
67,2020-04-09,9 Apr
68,2020-04-10,10 Apr
69,2020-04-11,11 Apr
70,2020-04-12,12 Apr
71,2020-04-13,13 Apr
72,2020-04-14,14 Apr
73,2020-04-15,15 Apr
74,2020-04-16,16 Apr
75,2020-04-17,17 Apr
76,2020-04-18,18 Apr
77,2020-04-19,19 Apr
