Country,Epidemic Start,R0 at start,R0 29 Mar,R0 Apr 19
Denmark,2020-02-21,2.72,1.34,1.34
Norway,2020-02-24,2.84,1.07,1.07
Sweden,2020-02-18,2.64,1.32,1.32
