Country,Epidemic Start,R0 at start,R0 29 Mar,R0 Apr 19
Austria,2020-02-22,3.11,0.36,0.36
Belgium,2020-02-18,3.24,0.51,0.51
Denmark,2020-02-21,3.02,1.36,1.36
France,2020-02-07,2.91,0.3,0.3
Germany,2020-02-15,3.08,0.56,0.56
Italy,2020-01-27,3.17,0.22,0.22
Norway,2020-02-24,2.82,0.92,0.92
Spain,2020-02-09,3.19,0.29,0.29
Sweden,2020-02-18,2.89,2.01,2.01
Switzerland,2020-02-14,2.81,0.53,0.53
United_Kingdom,2020-02-13,2.82,0.61,0.61
