,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],2.7631389337051386,0.004921043500457646,0.31545264251448607,2.1236449252269827,2.577005734743476,2.7658447541974596,2.936488920209756,3.4417941856515757,4109.168322085242,1.000221842690958
mu[2],2.91455413823707,0.005086552971527264,0.2986866463136119,2.416348273116295,2.7219889867385403,2.874556714665548,3.0665451589873722,3.6298336569431484,3448.1366605929647,0.9998858125966429
mu[3],2.9325844372245538,0.005400214917217143,0.3194425526782953,2.3872969991478286,2.7316213394206175,2.8888745222214984,3.1029434224212498,3.681275346392423,3499.157146280736,0.9997607229563963
mu[4],2.9077279051747587,0.0034215584538794764,0.20823729872913543,2.551393449716767,2.7686071906529275,2.8842630592377088,3.0263732132738004,3.3889537621754373,3703.984111789596,0.9997915705588364
mu[5],2.9488979321675197,0.005027806500258687,0.28410303874955184,2.480814338918469,2.764862596198945,2.90801804386121,3.1024232304168864,3.611632487357382,3192.9685998709606,1.0005247887874726
mu[6],3.174417519707002,0.003870327425607882,0.20529232719287047,2.8249625129758513,3.0276224372192404,3.1554545469862765,3.3022619728336187,3.6156818349966353,2813.520092358146,1.0007163903949576
mu[7],3.1837452980747467,0.005317532675571457,0.26942265342988236,2.7619286244173287,2.9907060469162117,3.151174097847555,3.343199005660871,3.7763230845713496,2567.13012696735,1.0002910090740644
mu[8],2.9038890062395684,0.00528730518628534,0.3057754172101307,2.356490752927738,2.716868702253797,2.868620021736835,3.0703379777532014,3.6056803378614166,3344.539866918728,1.0014016425997037
mu[9],2.8132053654277125,0.0043191257477661164,0.25585595320263965,2.3363971708886204,2.6513768144235623,2.796555890076367,2.9619686764960234,3.376292260159141,3509.129182331025,0.9993912004389244
mu[10],2.816854597739822,0.0037500289577233896,0.21890587140112464,2.4263608978827946,2.672702406919038,2.795939169127875,2.9458400821770176,3.3032359952224533,3407.5762107490305,0.9995543751076365
alpha[1],0.07760073816828307,0.0016735442817157728,0.10326822400759196,0.00012454631639404335,0.008450957508682938,0.03910910815323532,0.1063851628821434,0.3722462986770563,3807.6673488357483,1.001377309907991
alpha[2],3.1079603316675137,0.011544895519876575,0.6906651769832433,1.6942969019250886,2.667718018978,3.1533743778535293,3.5870739705242762,4.3731338764248076,3578.945667603918,0.9993879185686652
alpha[3],0.06680124160491697,0.0014685931777321918,0.09062385729059934,7.196373264255245e-05,0.00707471415688651,0.031745780065931775,0.09045633911344242,0.33308241281114254,3807.869656909194,0.9996256475959813
alpha[4],0.09296902951687006,0.0021392049878677763,0.12804135129968086,0.00010482788972829158,0.00896662829344564,0.042744264285314665,0.1234535393902893,0.47245123671097833,3582.57831367344,1.0002856128940458
alpha[5],0.1806605484853047,0.0038429624963040154,0.23660081165337765,0.00021845202126941348,0.019319827498644193,0.09293371564438291,0.24639846485856406,0.8493913492653774,3790.5320048889794,0.9994996593317363
kappa,0.33324042439078017,0.0033852999788529523,0.16039193700431487,0.07790279286073541,0.2235263544018728,0.311647577469451,0.41746693918824573,0.7242903912032779,2244.764303290314,1.0000339405035485
y[1],48.668507965911715,0.44601683475681964,28.683092202122797,14.686608368069848,29.82296077312474,41.70311593265984,59.234937119082936,122.6756836000057,4135.70387942526,0.9999910304135025
y[2],67.8027611683302,0.5482235062150419,34.40809655824024,19.935904832699748,44.407912436131824,61.783218893241006,83.6258611304281,152.56580874774295,3939.18149277083,0.999054191029538
y[3],85.59118130919275,0.6134228735305162,37.51972896066597,28.828732099651468,60.25130683212434,80.08025758613758,104.64915325249791,177.33233940298848,3741.101167926966,0.999516362991153
y[4],51.04790339283251,0.324519159102346,20.818574755555005,19.409461987418,36.68048903566306,48.17618397798013,61.79375327121504,100.78080582015053,4115.487667967287,0.9995181151241221
y[5],25.06308782091843,0.23988267736539273,13.93632184067903,6.53009707277368,15.351577758592338,22.51892935910994,31.619504287128862,59.477512279387426,3375.192595535845,1.0003850228658855
y[6],34.49411332331181,0.30590275182212784,15.355372576990778,12.125260395835138,23.329895390633673,31.806820662507317,43.219567571709575,70.91023533124621,2519.729666894358,1.0010523980946828
y[7],102.01481166895391,0.9268938189136284,47.139762294431144,32.98177243642273,67.85588797196661,94.3366020407417,127.50332121636848,216.2210939945112,2586.513826995638,1.0004076762922596
y[8],29.37891526771283,0.2728206715197081,16.873183339151822,7.681072763149223,18.42548851469649,26.091884536323626,35.97884151981985,71.38243335390077,3825.0710261291065,1.0010907648077039
y[9],25.994437826762244,0.23489624543112933,14.336526546675803,7.801786221722937,16.458108096441997,22.63375276651719,32.032827785184445,63.590600071821406,3725.0811333796873,0.9992291226566944
y[10],111.97510417321857,0.7136547794050168,45.52894252030705,46.039540929125565,80.72584800665496,105.17573662626293,134.62762818034605,223.66490401868225,4070.04086025275,0.9996521920105507
phi_mu,3.8073887268464577,0.030728418975682046,1.8986457962945071,0.28429238422546876,2.3264256473189224,3.9820048354285116,5.2746059991243035,7.145031265903238,3817.749884667957,1.0004128552850458
phi_tau,5.450567406978138,0.1533629136441465,8.774285748675062,0.15848409789296403,1.7357171020545024,3.3594312444790955,6.2907344681633734,22.46057908654587,3273.2776559702006,1.0009758157515964
phi_eta,0.6878406572270602,0.008403398619893252,0.5338223368959045,0.03164484860808318,0.2720010227136634,0.5683659157685975,0.9811580829064381,2.0390940802064605,4035.3717954125914,1.0006928463924247
tau,58.56857099499959,0.3357174231246769,20.317773383377514,28.543762993291445,44.08827639562675,55.25111392419728,68.99895630836525,109.38693435322757,3662.72626099549,0.9996806161937244
convolution,95346.2967427322,14221.357650662778,893475.0051002653,270.6465097087027,2336.7713595156997,7430.947227744561,26809.770408656957,528561.8692704774,3947.1415236638722,1.000300740603253
"prediction[1,1]",48.668507965911715,0.44601683475681964,28.683092202122797,14.686608368069848,29.82296077312474,41.70311593265984,59.234937119082936,122.6756836000057,4135.70387942526,0.9999910304135025
"prediction[2,1]",48.668507965911715,0.44601683475681964,28.683092202122797,14.686608368069848,29.82296077312474,41.70311593265984,59.234937119082936,122.6756836000057,4135.70387942526,0.9999910304135025
"prediction[3,1]",48.668507965911715,0.44601683475681964,28.683092202122797,14.686608368069848,29.82296077312474,41.70311593265984,59.234937119082936,122.6756836000057,4135.70387942526,0.9999910304135025
"prediction[4,1]",48.668507965911715,0.44601683475681964,28.683092202122797,14.686608368069848,29.82296077312474,41.70311593265984,59.234937119082936,122.6756836000057,4135.70387942526,0.9999910304135025
"prediction[5,1]",48.668507965911715,0.44601683475681964,28.683092202122797,14.686608368069848,29.82296077312474,41.70311593265984,59.234937119082936,122.6756836000057,4135.70387942526,0.9999910304135025
"prediction[6,1]",48.668507965911715,0.44601683475681964,28.683092202122797,14.686608368069848,29.82296077312474,41.70311593265984,59.234937119082936,122.6756836000057,4135.70387942526,0.9999910304135025
"prediction[7,1]",96.9104475007241,0.6551164760576612,42.252768982036976,38.1187815291486,67.61770745565136,88.6439269279233,116.23373920436825,201.77292529474028,4159.808196624575,1.000254879443627
"prediction[8,1]",100.03174656329085,0.686156720847875,44.04646915352641,38.90261545268325,69.34970004132143,91.61481269495607,120.59696500981602,210.02382461675143,4120.743264562822,1.0002712097717987
"prediction[9,1]",143.21834427680548,0.8911107978009979,57.38352019315439,60.643521380751054,102.92403403264203,132.62182990617282,171.0972938025931,283.740467670174,4146.779670632226,1.0003346962971382
"prediction[10,1]",169.3572305895194,1.00318643489388,64.44006649343008,75.5341454536774,123.5021843782386,158.25725790862592,201.74030658825092,323.576871704058,4126.184637593741,1.0003809149350822
"prediction[11,1]",198.3976787977718,1.1141847956376023,71.46523534902703,92.14032716700714,147.34713408992656,187.16818881926685,236.01416037675335,366.7789334714679,4114.103385583235,1.0004258628281997
"prediction[12,1]",256.53911129334506,1.3385943725080174,85.71742154452411,125.72241731168484,194.8103190632104,244.12367425715544,303.61237091373425,451.652854479908,4100.532019101334,1.000466267712599
"prediction[13,1]",300.28982916614063,1.504641857106529,96.06882679500073,152.49246145739613,231.27926885577654,287.5104837605351,354.3492560663839,516.8292366679108,4076.605591954418,1.0004607429943477
"prediction[14,1]",370.75489871578105,1.7544951740124888,111.79914404654944,194.82745859139385,289.6919474578177,356.51293731777105,434.993008726504,617.9850392535152,4060.435359904874,1.000455536443679
"prediction[15,1]",418.83047965756685,1.97536831128402,125.02865368958031,221.63969262078012,327.84801577981915,402.15347068358153,492.3298992137919,690.3450997409204,4006.1106852604717,1.0003341018810568
"prediction[16,1]",795.183870755717,3.078195506466812,193.99871174151744,479.8401843293044,656.2935499284656,774.615778189044,912.0955866663296,1227.0466293713907,3971.9638961213723,1.000544436053195
"prediction[17,1]",734.5999897328124,2.967633969271347,186.8031799600393,429.2548583666055,598.8268356924821,714.6063933897676,847.2889499994869,1143.1396587549157,3962.3046370430657,1.0002431590632457
"prediction[18,1]",1120.3534296925152,4.015177906702811,251.51086026431307,708.4761974085,939.9567715780412,1095.408031129541,1273.6824547559365,1659.8081985464405,3923.7732252670703,1.000230574499171
"prediction[19,1]",1765.544275424017,5.912603195393313,363.89154693639216,1165.392105359333,1502.853543464048,1729.8865986455294,1990.2780171669538,2565.8868183885997,3787.7950041345935,1.0001305902743631
"prediction[20,1]",2906.6860533783884,10.189041254465675,609.7795831060976,1872.832609120347,2467.901534820344,2854.082212534546,3270.305596573762,4269.140679605641,3581.6167857738037,0.9998698626092117
"prediction[21,1]",8154.825797317539,42.974583936657446,2526.439733899048,4037.5461314024465,6356.139404488854,7880.046851043338,9710.608843904356,13698.63276094248,3456.165450916695,0.9993665336385967
"prediction[22,1]",2515.134517321808,8.874840731121434,553.0923386190578,1603.727888729911,2124.2403606459693,2467.385592631116,2846.1946655267902,3754.1708879053494,3883.9546435149755,0.9991458942975701
"prediction[23,1]",1605.906258258654,7.287385929556734,451.6546654642465,895.4146678547193,1289.544989825231,1557.1675189688337,1865.0151835399902,2627.3403992656486,3841.2224812251184,0.9996034304890677
"prediction[24,1]",3138.420450458598,12.454702183268825,779.0878380799829,1841.0487540580689,2592.6908321192163,3073.2900974395284,3609.711339709942,4858.114602126761,3912.9667309089455,0.9992297887406054
"prediction[25,1]",1966.699724587617,9.709185667915353,606.5407848584478,983.4483349834627,1536.9648527444483,1898.089200788882,2307.6083593361027,3358.334740197371,3902.603282646147,0.9998186834865467
"prediction[26,1]",2217.707428957787,11.394481082156984,711.8590467247396,1077.9410180003092,1717.154872203801,2137.576708121758,2609.832982164804,3853.519944026415,3903.0032594885843,0.9998921752936227
"prediction[27,1]",2339.7477424946196,12.854392710597732,802.0554575290953,1074.574949413832,1780.9769938464965,2244.0392765303723,2773.4966039016135,4200.234061779191,3893.190626199888,1.0000146086213415
"prediction[28,1]",2436.201984715563,14.414427200888095,897.7192883939521,1052.7418166293469,1814.3591844638154,2314.1883708879395,2917.0925073431845,4547.133386189274,3878.701291990696,1.0001377449091444
"prediction[29,1]",1786.6433814264346,13.383180988563357,821.5645905850471,651.184738567415,1234.3233927205174,1645.0650696068183,2177.188777613406,3779.925807508823,3768.467059198243,1.0004387309060867
"prediction[30,1]",773.5701533338461,9.534123552938876,567.0167655814371,176.77079317830152,416.032001386107,619.4629595985672,962.3930053766726,2173.431819450504,3536.9608224500475,1.0006310638919518
"prediction[31,1]",2153.5652578202844,17.346029459521166,1066.0952947098413,722.3914477528233,1449.2974744942553,1956.980453087573,2627.3894336338067,4682.637908101092,3777.3905878952,1.0005336026550145
"prediction[32,1]",2008.01733978257,17.997909924738938,1100.6157320114332,609.8981630863295,1287.8655782872786,1786.729949625592,2462.787652041035,4663.8942676379065,3739.6183710901723,1.0006235540020545
"prediction[33,1]",1839.625900577119,18.622841511471172,1132.8583204252618,495.7655111717096,1112.2760934876,1584.2583395466313,2249.6641097840575,4575.523675663484,3700.4905798241393,1.0006936041445547
"prediction[34,1]",1965.9050197988745,21.046767295445715,1279.840850150901,497.659335953428,1147.526652745731,1668.2341359670158,2404.3321304545175,5077.72677283005,3697.780579897616,1.0007395306953193
"prediction[35,1]",2244.130157376662,24.762194157523485,1508.0457096757907,547.6233238195229,1282.016728774819,1893.5504968589698,2738.330659529834,5918.793660986321,3708.948147840009,1.0007762616009417
"prediction[36,1]",2005.06637217121,25.630364048859892,1548.206795048966,425.18140314832385,1066.9828719577642,1617.4232107491694,2447.1503341907364,5815.1545979417315,3648.785965088061,1.0008235761287345
"prediction[37,1]",844.3892595172848,17.36758386414456,1027.147547321074,99.49938848116285,318.6768474882044,555.3537067144105,1007.4314886212387,3241.3980871039494,3497.7346358812556,1.0006161141049528
